config,benchmark,policy,n_accesses,l1_hits,l1_misses,l1_hit_rate,l2_hits,l2_misses,l2_hit_rate,amat_cycles
C,mixed_access,DRRIP_jaleel,14080,10464,3616,0.743182,3392,224,0.938053,5.1591
C,mixed_access,DRRIP_champsim,14080,10535,3545,0.748224,3321,224,0.936812,5.1087
C,Validacao,LRU,8,4,4,0.500000,0,4,0.000000,56.0000
C,Validacao,DRRIP_jaleel,8,4,4,0.500000,0,4,0.000000,56.0000
C,Validacao,DRRIP_champsim,8,4,4,0.500000,0,4,0.000000,56.0000
Validacao,streaming_hotset,LRU,3120,2712,408,0.869231,23,385,0.056373,14.6474
Validacao,streaming_hotset,DRRIP_jaleel,3120,2712,408,0.869231,37,371,0.090686,14.1987
Validacao,streaming_hotset,DRRIP_champsim,3120,2712,408,0.869231,53,355,0.129902,13.6859
Validacao,matrix_conv,LRU,64512,0,64512,0.000000,0,64512,0.000000,111.0000
Validacao,matrix_conv,DRRIP_jaleel,64512,16,64496,0.000248,681,63815,0.010559,109.9171
Validacao,matrix_conv,DRRIP_champsim,64512,14,64498,0.000217,1189,63309,0.018435,109.1331
Validacao,linked_list,LRU,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,linked_list,DRRIP_jaleel,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,linked_list,DRRIP_champsim,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,pattern_search,LRU,7392,6824,568,0.923160,504,64,0.887324,2.6342
Validacao,pattern_search,DRRIP_jaleel,7392,6852,540,0.926948,476,64,0.881481,2.5963
Validacao,pattern_search,DRRIP_champsim,7392,6880,512,0.930736,448,64,0.875000,2.5584
Validacao,mixed_access,LRU,14080,0,14080,0.000000,0,14080,0.000000,111.0000
Validacao,mixed_access,DRRIP_jaleel,14080,0,14080,0.000000,884,13196,0.062784,104.7216
Validacao,mixed_access,DRRIP_champsim,14080,150,13930,0.010653,1188,12742,0.085284,101.3906
Validacao,Validacao,LRU,8,2,6,0.250000,2,4,0.333333,58.5000
Validacao,Validacao,DRRIP_jaleel,8,2,6,0.250000,2,4,0.333333,58.5000
Validacao,Validacao,DRRIP_champsim,8,3,5,0.375000,1,4,0.200000,57.2500
