config,benchmark,policy,n_accesses,l1_hits,l1_misses,l1_hit_rate,l2_hits,l2_misses,l2_hit_rate,amat_cycles
Validacao,matrix_conv,DRRIP_champsim,64512,16,64496,0.000248,95,64401,0.001473,110.8255
Validacao,linked_list,LRU,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,linked_list,DRRIP_jaleel,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,linked_list,DRRIP_champsim,120000,80000,40000,0.666667,0,40000,0.000000,37.6667
Validacao,pattern_search,LRU,7392,6824,568,0.923160,504,64,0.887324,2.6342
Validacao,pattern_search,DRRIP_jaleel,7392,6908,484,0.934524,420,64,0.867769,2.5206
Validacao,pattern_search,DRRIP_champsim,7392,6852,540,0.926948,476,64,0.881481,2.5963
Validacao,mixed_access,LRU,14080,0,14080,0.000000,0,14080,0.000000,111.0000
Validacao,mixed_access,DRRIP_jaleel,14080,300,13780,0.021307,1844,11936,0.133817,95.5597
Validacao,mixed_access,DRRIP_champsim,14080,150,13930,0.010653,144,13786,0.010337,108.8054
Validacao,Validacao,LRU,8,3,5,0.375000,1,4,0.200000,57.2500
Validacao,Validacao,DRRIP_jaleel,8,3,5,0.375000,1,4,0.200000,57.2500
Validacao,Validacao,DRRIP_champsim,8,3,5,0.375000,1,4,0.200000,57.2500
